event_date_kst,user_pseudo_id,event_timestamp_kst,user_first_touch_timestamp_kst,event_name,key,string_value,int_value,geo_continent,geo_country,traffic_source_medium,traffic_source
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,first_visit,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,first_visit,session_engaged,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,first_visit,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,first_visit,engaged_session_event,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,first_visit,ga_session_id,,1628175304.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,first_visit,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,session_start,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,session_start,ga_session_id,,1628175304.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,session_start,engaged_session_event,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,session_start,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,session_start,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,entrances,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,ga_session_id,,1628175304.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,session_engaged,0,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,engaged_session_event,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:07,2021-08-05 23:55:07,page_view,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,session_engaged,1,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,engagement_time_msec,,13088.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,ga_session_id,,1628175304.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,engaged_session_event,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,percent_scrolled,,90.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:55:25,2021-08-05 23:55:07,scroll,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,engaged_session_event,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,page_location,https://datarian-kr.github.io/blog/product-study/kakaotalk-gift,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,ga_session_id,,1628175304.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,engagement_time_msec,,58228.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,page_title,내가 만약 카톡 선물하기의 분석가라면,,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,2e7e591e5b2b75de74baf0ae1ae6671d83240388,2021-08-05 23:57:48,2021-08-05 23:55:07,user_engagement,session_engaged,1,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,first_visit,ga_session_number,,1.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,first_visit,ga_session_id,,1628168871.0,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,first_visit,page_location,https://datarian-kr.github.io/,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,first_visit,page_title,Datarian,,Asia,South Korea,(none),(direct)
2021-08-05,93b652814b54bc68233f5f3ab7f021a778b575d6,2021-08-05 22:07:52,2021-08-05 22:07:52,session_start,page_location,https://datarian-kr.github.io/,,Asia,South Korea,(none),(direct)
