player_no,player_name,shirt_name,position,hand,height,highest_reach_spike,highest_reach_block,date_of_birth
1,LEE Soyoung,LEE SOYOUNG,Outside Hitter,Right,176,270,255,1994-10-17
3,YEUM Hye Seon,YEUM HYE SEON,Setter,Right,176,262,247,1991-02-03
4,KIM Heejin,KIM HEEJIN,Opposite,Right,185,305,290,1991-04-29
7,AN Hyejin,AN HYEJIN,Setter,Right,175,256,231,1998-02-16
8,PARK Eunjin,PARK EUNJIN,Middle Blocker,Right,187,296,281,1999-12-15
9,OH Jiyoung,OH JIYOUNG,Libero,Right,170,267,252,1988-07-11
10,KIM Yeon Koung (c),KIM YEON KOUNG,Outside Hitter,Right,192,310,300,1988-02-26
11,KIM Su Ji,KIM SU JI,Middle Blocker,Right,188,283,268,1987-07-11
13,PARK Jeongah,PARK JEONGAH,Outside Hitter,Right,187,291,276,1993-03-26
14,YANG Hyo Jin,YANG HYO JIN,Middle Blocker,Right,190,298,283,1989-12-14
16,JEONG Jiyun,JEONG JIYUN,Opposite,Right,180,295,280,2001-01-01
19,PYO Seungju,PYO SEUNGJU,Outside Hitter,Right,182,275,260,1992-08-07
,LAVARINI Stefano (ITA),,Head Coach,,,,,
,HERNANDEZ GONZALEZ Cesar (ESP),,Assistant Coach,,,,,
,CHOI Yunji,,Assistant Coach,,,,,
